"","Team","Season","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","Pts","xPts"
"","PHI","2025","3","43","37","9","3","6","5.61","4.13","1.48","4.52","9","5.33"
"","VAN","2025","3","51","22","8","2","6","6.31","2.26","4.05","1.95","9","6.68"
"","SD","2025","3","39","22","5","1","4","5.23","3.03","2.20","1.80","7","5.83"
"","MIA","2025","3","27","24","7","3","4","4.30","2.32","1.98","2.02","7","5.48"
"","CLB","2025","3","34","20","4","2","2","3.71","2.71","1.00","1.00","7","4.77"
"","SJE","2025","3","38","47","6","2","4","4.67","5.65","-0.98","4.98","6","3.45"
"","MIN","2025","3","36","33","2","1","1","4.89","3.03","1.86","-0.86","6","5.47"
"","CIN","2025","3","30","35","4","4","0","4.45","4.03","0.42","-0.42","6","4.85"
"","LAFC","2025","3","29","37","4","5","-1","3.89","3.00","0.89","-1.89","6","4.76"
"","STL","2025","3","33","40","3","0","3","4.36","3.69","0.67","2.33","5","4.52"
"","DCU","2025","3","37","30","6","5","1","5.81","5.04","0.77","0.23","5","4.85"
"","COL","2025","3","24","49","4","3","1","3.57","6.18","-2.61","3.61","5","2.40"
"","SEA","2025","3","43","26","7","4","3","4.14","3.81","0.33","2.67","4","4.23"
"","NYRB","2025","3","34","31","2","1","1","3.60","3.72","-0.12","1.12","4","3.91"
"","CHI","2025","3","37","46","7","6","1","5.89","8.23","-2.33","3.33","4","2.57"
"","CLT","2025","3","26","37","3","3","0","3.62","3.68","-0.06","0.06","4","4.20"
"","NYC","2025","3","36","37","4","4","0","3.76","5.09","-1.33","1.33","4","3.20"
"","NSH","2025","3","47","32","2","2","0","5.79","2.71","3.07","-3.07","4","5.83"
"","ATL","2025","3","39","30","3","4","-1","4.07","4.53","-0.46","-0.54","4","3.90"
"","FCD","2025","3","33","40","6","7","-1","5.73","5.24","0.49","-1.49","4","4.49"
"","ATX","2025","3","45","20","1","2","-1","4.31","2.08","2.23","-3.23","3","5.72"
"","ORL","2025","3","44","36","7","8","-1","5.72","4.41","1.31","-2.31","3","5.21"
"","POR","2025","3","22","59","2","6","-4","2.00","7.29","-5.29","1.29","3","1.47"
"","RSL","2025","3","46","40","2","7","-5","5.69","4.79","0.90","-5.90","3","5.05"
"","NER","2025","3","23","40","0","2","-2","1.45","3.55","-2.10","0.10","1","2.31"
"","TOR","2025","3","27","27","4","8","-4","2.50","3.63","-1.13","-2.87","1","3.07"
"","HOU","2025","3","20","27","2","6","-4","2.01","3.64","-1.63","-2.37","1","2.67"
"","SKC","2025","3","29","30","2","5","-3","2.75","4.37","-1.62","-1.38","0","2.70"
"","MTL","2025","3","26","42","2","6","-4","3.49","5.01","-1.51","-2.49","0","3.08"
"","LAG","2025","3","36","38","1","7","-6","3.20","5.67","-2.48","-3.52","0","2.38"
