"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Carlos Vela","LAFC","2019","W","2985","4.11","1.27","-0.10","0.44","3.14","2.49","11.34"
"","Zlatan Ibrahimovic","LAG","2019","ST","2860","0.37","0.97","0.19","0.94","5.49","1.96","9.92"
"","Robbie Keane","LAG","2014","ST","2734","3.57","-0.40","0.37","3.08","0.47","1.30","8.39"
"","Riqui Puig","LAG","2024","CM","2874","3.00","0.68","-0.71","3.58","-0.12","1.63","8.07"
"","Miguel Almirón","ATL","2018","AM","3010","3.39","0.80","0.07","0.56","1.38","1.30","7.49"
"","Sebastián Blanco","POR","2019","W","2772","2.14","0.21","0.10","3.63","0.18","1.02","7.28"
"","Alberth Elis","HOU","2018","W","2639","3.11","0.15","-0.42","-0.39","3.29","1.37","7.12"
"","Sebastian Giovinco","TOR","2015","ST","2957","2.24","1.32","-0.15","2.40","-0.92","2.19","7.08"
"","Sebastian Giovinco","TOR","2016","ST","2596","1.83","1.04","-0.21","2.48","-0.44","2.03","6.73"
"","Joao Plata","RSL","2017","W","2468","1.44","-0.07","-0.39","2.38","1.93","1.00","6.30"
"","Kei Kamara","CLB","2015","ST","2951","0.04","-0.09","0.38","-0.49","4.97","1.44","6.26"
"","Sebastián Blanco","POR","2018","AM","2789","1.73","0.52","0.01","2.13","0.96","0.78","6.13"
"","Cucho Hernández","CLB","2023","ST","2628","1.34","0.29","0.31","0.93","0.93","2.32","6.13"
"","Christian Benteke","DCU","2024","ST","2958","0.11","-0.09","-0.41","0.64","4.96","0.91","6.12"
"","David Villa","NYC","2016","ST","3098","1.35","0.43","0.24","0.95","1.15","1.88","6.00"
"","Ignacio Piatti","MTL","2016","W","3037","2.47","0.62","-0.15","1.38","0.67","0.99","5.98"
"","Alberth Elis","HOU","2019","W","2135","1.83","0.95","-0.47","0.21","2.50","0.94","5.96"
"","Cucho Hernández","CLB","2024","ST","2369","1.75","-0.20","0.31","2.49","0.12","1.47","5.93"
"","Dénis Bouanga","LAFC","2024","W","3074","0.65","1.02","0.31","-0.11","2.23","1.79","5.90"
"","Diego Fagundez","NER","2017","CM","2596","2.08","0.48","0.01","0.89","1.40","1.01","5.86"
"","Darwin Quintero","MIN","2018","AM","2617","2.86","0.08","-0.20","3.19","-0.34","0.24","5.82"
"","Gabriel Pec","LAG","2024","W","3061","3.13","-0.23","-0.42","0.05","1.45","1.76","5.75"
"","Adam Buksa","NER","2021","ST","2282","0.38","0.11","0.15","-0.80","4.47","1.37","5.69"
"","Brian White","VAN","2023","ST","2804","-0.24","0.19","-0.03","-0.92","5.69","0.97","5.66"
"","Eduard Atuesta","LAFC","2019","DM","2877","1.95","0.36","0.58","2.21","0.06","0.41","5.56"
"","Hany Mukhtar","NSH","2022","ST","3082","1.02","0.83","-0.21","0.88","1.48","1.55","5.54"
"","Thiago Almada","ATL","2023","AM","3052","2.05","-0.02","-0.35","3.35","-0.51","1.01","5.52"
"","Lionel Messi","MIA","2024","W","1690","1.24","0.18","-0.37","1.92","0.87","1.63","5.47"
"","Carlos Vela","LAFC","2018","W","2611","0.43","0.77","-0.17","3.34","0.40","0.66","5.44"
"","Zlatan Ibrahimovic","LAG","2018","ST","2333","-0.10","0.35","0.89","1.38","1.80","1.08","5.40"
"","Riqui Puig","LAG","2023","CM","2807","2.15","0.40","-0.37","2.34","-0.04","0.93","5.40"
"","Jack Elliott","PHI","2019","CB","3368","0.06","0.52","2.13","0.80","1.49","0.35","5.35"
"","Luciano Acosta","CIN","2024","AM","3068","3.13","0.02","0.45","1.68","-0.38","0.36","5.27"
"","Ignacio Piatti","MTL","2018","W","3041","2.50","0.41","0.43","1.35","-0.08","0.47","5.08"
"","Federico Bernardeschi","TOR","2024","FB","2765","2.69","0.41","-0.03","-0.27","0.66","1.61","5.07"
"","Mark-Anthony Kaye","LAFC","2019","CM","2730","0.43","-0.07","1.03","2.73","0.68","0.20","5.00"
"","Carles Gil","NER","2019","CM","3343","1.33","0.36","0.18","4.26","-1.27","0.04","4.89"
"","Thierry Henry","NYRB","2013","ST","2734","1.78","-0.28","-0.34","3.50","-0.07","0.27","4.86"
"","Andreu Fontàs","SKC","2021","CB","3264","0.80","0.22","1.60","2.41","-0.15","-0.04","4.85"
"","Luciano Acosta","DCU","2018","AM","2980","1.70","0.03","-0.00","2.10","0.74","0.21","4.78"
"","Fabian Castillo","FCD","2014","W","2426","4.45","0.02","-0.11","-0.88","0.45","0.80","4.73"
"","Thierry Henry","NYRB","2014","ST","2848","1.72","0.39","-0.15","4.08","-1.23","-0.19","4.63"
"","Alberth Elis","HOU","2017","W","1771","1.57","0.24","-0.27","0.13","2.39","0.56","4.62"
"","Héctor Herrera","HOU","2023","CM","2833","0.64","0.31","0.48","1.59","0.83","0.76","4.61"
"","Bradley Wright-Phillips","NYRB","2018","ST","2756","-0.04","0.36","-0.16","0.29","3.47","0.68","4.59"
"","José Cifuentes","LAFC","2022","CM","2557","0.76","-0.01","0.19","1.66","1.44","0.55","4.59"
"","Miguel Almirón","ATL","2017","AM","2573","2.54","0.19","0.20","0.88","-0.05","0.83","4.59"
"","Valeri Qazaishvili","SJE","2019","W","2308","2.10","-0.19","0.12","-0.07","0.71","1.91","4.58"
"","Carles Gil","NER","2022","AM","3181","2.83","0.45","-0.05","2.68","-1.12","-0.22","4.57"
"","David Villa","NYC","2017","ST","2738","1.16","0.53","-0.00","1.27","0.25","1.34","4.55"
"","Diego Valeri","POR","2014","AM","2933","0.84","0.43","-0.47","2.60","0.14","0.97","4.52"
"","Luciano Acosta","CIN","2023","AM","2876","0.42","0.84","0.09","3.07","-0.23","0.28","4.47"
"","Diego Valeri","POR","2013","CM","2427","1.02","0.25","-0.37","1.66","0.86","0.91","4.33"
"","Maxi Moralez","NYC","2018","AM","3029","0.90","0.24","0.38","0.29","2.05","0.42","4.28"
