"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Sebastián Blanco","POR","2019","W","2772","2.14","0.21","0.10","3.63","0.18","1.02","7.28"
"","Sebastián Blanco","POR","2018","AM","2789","1.73","0.52","0.01","2.13","0.96","0.78","6.13"
"","Diego Valeri","POR","2014","AM","2933","0.84","0.43","-0.47","2.60","0.14","0.97","4.52"
"","Diego Valeri","POR","2013","CM","2427","1.02","0.25","-0.37","1.66","0.86","0.91","4.33"
"","Diego Valeri","POR","2016","AM","2830","0.62","0.11","-0.68","2.72","-0.24","1.24","3.77"
"","Sebastián Blanco","POR","2017","W","2993","2.30","-0.34","0.27","2.42","-1.20","0.26","3.71"
"","Jonathan Rodríguez","POR","2024","W","2723","0.39","0.03","-0.45","-0.29","2.73","1.27","3.68"
"","Bill Tuiloma","POR","2022","CB","2532","-0.02","0.18","1.28","0.65","0.74","0.69","3.53"
"","Evander","POR","2024","AM","2780","-0.28","0.13","-0.14","2.61","0.35","0.71","3.38"
"","Alvas Powell","POR","2015","FB","2924","0.80","0.25","1.63","0.50","-0.13","-0.02","3.04"
"","Sebastián Blanco","POR","2021","AM","1312","1.25","-0.35","-0.01","1.74","-0.08","0.47","3.01"
"","Felipe Mora","POR","2024","ST","2109","0.76","0.51","-0.41","-0.85","2.38","0.61","3.00"
"","Fanendo Adi","POR","2015","ST","2312","0.28","0.27","-0.42","-2.25","4.31","0.79","2.98"
"","Diego Chara","POR","2021","DM","2708","0.40","-0.11","2.00","1.00","-0.61","-0.46","2.22"
"","Diego Chara","POR","2019","DM","2908","0.71","-0.23","0.80","1.00","0.23","-0.42","2.08"
"","Darlington Nagbe","POR","2013","W","3050","1.77","0.23","0.01","-0.38","0.36","0.08","2.06"
"","Diego Valeri","POR","2018","AM","2999","-0.32","0.15","-0.22","1.26","0.83","0.35","2.03"
"","Brian Fernández","POR","2019","ST","1571","1.17","-0.18","-0.26","-0.58","0.85","0.90","1.91"
"","Sebastián Blanco","POR","2022","AM","2010","0.47","-0.03","-0.42","2.13","-0.31","0.07","1.91"
"","Fanendo Adi","POR","2014","ST","1624","-0.62","-0.00","0.19","-0.59","2.68","0.22","1.88"
"","Diego Valeri","POR","2015","AM","1818","0.09","0.14","-0.29","0.48","0.76","0.57","1.76"
"","Claudio Bravo","POR","2022","FB","2441","-0.19","-0.55","1.36","0.98","-0.08","0.19","1.71"
"","Diego Chara","POR","2015","DM","2665","0.11","-0.08","0.96","1.04","-0.04","-0.30","1.69"
"","Claudio Bravo","POR","2023","FB","2552","0.31","-0.39","0.86","1.18","-0.40","0.08","1.64"
"","Jorge Moreira","POR","2019","FB","2482","1.43","-0.58","-0.24","0.75","-0.12","0.36","1.61"
"","Diego Chara","POR","2013","DM","2964","0.91","-0.42","1.05","0.51","-0.19","-0.32","1.53"
"","Diego Chara","POR","2020","DM","1970","0.54","-0.26","0.80","1.03","-0.31","-0.30","1.50"
"","Fanendo Adi","POR","2016","ST","2876","-0.64","0.10","-0.23","-1.87","3.81","0.33","1.50"
"","Santiago Moreno","POR","2024","W","2738","-0.50","-0.10","0.37","1.73","0.15","-0.14","1.50"
"","Cristhian Paredes","POR","2019","DM","1810","-0.17","0.02","0.50","-0.22","0.80","0.48","1.41"
"","Claudio Bravo","POR","2021","FB","2242","0.07","-0.68","1.84","0.54","-0.41","0.03","1.40"
"","Jack McInerney","POR","2016","ST","1017","-0.56","0.19","-0.18","-0.53","2.02","0.44","1.38"
"","David Guzmán","POR","2017","DM","2205","0.65","-0.04","0.62","0.09","-0.21","0.26","1.36"
"","Diego Chara","POR","2018","DM","2627","1.20","-0.06","0.38","0.51","-0.35","-0.33","1.35"
"","Diego Chara","POR","2022","DM","2706","0.09","0.12","1.52","0.42","-0.30","-0.51","1.35"
"","Diego Valeri","POR","2017","AM","3061","-1.00","0.34","-0.17","0.27","1.21","0.68","1.33"
"","Juan Mosquera","POR","2023","FB","2658","0.53","0.12","-0.27","0.37","0.42","0.11","1.28"
"","Diego Chara","POR","2017","DM","2756","0.49","-0.36","0.99","0.54","-0.08","-0.33","1.24"
"","Franck Boli","POR","2023","ST","1589","-0.38","-0.10","-0.00","0.50","0.78","0.41","1.22"
"","Claude Dielna","POR","2019","CB","1223","0.22","-0.16","0.71","0.27","0.09","0.05","1.18"
"","Zac McGraw","POR","2023","CB","2710","0.00","0.30","0.85","-0.67","0.52","0.14","1.15"
"","Santiago Moreno","POR","2022","W","2659","-0.04","0.49","0.32","0.15","0.17","-0.03","1.07"
"","Santiago Moreno","POR","2023","W","2516","0.04","-0.58","0.68","0.81","0.09","0.02","1.06"
"","Yimmi Chará","POR","2021","W","2491","0.57","-0.15","0.43","0.62","-0.32","-0.10","1.06"
"","Zarek Valentin","POR","2017","FB","1671","0.09","0.04","0.69","0.69","-0.29","-0.17","1.06"
"","Diego Valeri","POR","2020","AM","1759","-0.13","-0.04","0.20","1.53","-0.51","-0.01","1.04"
"","Lucas Melano","POR","2015","W","776","0.34","0.45","-0.13","-0.31","0.46","0.22","1.03"
"","Will Johnson","POR","2013","CM","2725","0.38","0.24","-0.06","-0.68","0.73","0.42","1.03"
"","Darlington Nagbe","POR","2017","W","2522","1.55","0.20","-0.07","0.77","-1.13","-0.29","1.02"
"","Julio Cascante","POR","2018","CB","1916","-0.26","-0.13","1.06","-0.26","0.45","0.15","1.00"
"","Darlington Nagbe","POR","2014","W","2883","2.17","0.19","-0.13","-0.00","-0.83","-0.41","0.99"
"","Diego Valeri","POR","2019","AM","2864","0.41","-0.17","-0.44","0.99","-0.24","0.36","0.91"
"","Claudio Bravo","POR","2024","FB","1787","0.34","-0.25","0.48","0.57","-0.29","0.05","0.90"
"","Liam Ridgewell","POR","2018","CB","1179","-0.03","0.12","0.53","0.54","-0.17","-0.10","0.89"
"","Darlington Nagbe","POR","2016","W","2618","1.38","-0.01","-0.18","0.89","-0.88","-0.33","0.87"
"","Eryk Williamson","POR","2020","DM","1536","0.27","0.19","-0.24","0.25","0.27","0.13","0.87"
"","Diego Valeri","POR","2021","AM","1385","-0.01","-0.07","0.14","1.18","-0.26","-0.11","0.86"
"","Felipe Mora","POR","2021","ST","2211","-0.00","0.16","-0.08","-0.59","1.17","0.16","0.82"
"","Darren Mattocks","POR","2016","W","1013","0.88","-0.15","0.08","0.13","-0.14","-0.00","0.80"
"","Marvin Loría","POR","2022","W","949","0.68","0.44","0.04","-0.10","-0.30","0.03","0.79"
"","Lucas Melano","POR","2018","ST","174","0.18","0.01","0.32","0.09","0.11","0.07","0.78"
"","Liam Ridgewell","POR","2017","CB","1367","0.05","0.13","-0.20","0.61","0.10","0.06","0.75"
"","Bill Tuiloma","POR","2019","CB","2138","-0.19","0.14","0.53","-0.10","0.25","0.08","0.71"
"","Darlington Nagbe","POR","2015","W","3026","2.75","0.04","-0.34","0.12","-1.43","-0.45","0.70"
"","Alvas Powell","POR","2018","FB","2241","0.36","-0.05","0.15","-0.43","0.41","0.24","0.67"
"","Jeremy Ebobisse","POR","2020","W","1154","-0.24","-0.07","0.29","0.00","0.59","0.10","0.66"
"","Darren Mattocks","POR","2017","ST","1187","-1.24","0.86","-0.13","-0.69","1.61","0.22","0.63"
"","Jeremy Ebobisse","POR","2018","ST","496","0.13","-0.07","0.01","-0.11","0.67","-0.02","0.62"
"","Larrys Mabiala","POR","2018","CB","3012","-0.25","-0.07","-0.06","-0.07","0.61","0.42","0.59"
"","Dairon Asprilla","POR","2019","W","626","0.43","-0.07","-0.07","0.07","-0.05","0.27","0.58"
"","Bill Tuiloma","POR","2021","CB","2022","0.05","0.02","-0.19","0.13","0.37","0.18","0.56"
"","Alvas Powell","POR","2014","FB","1093","0.36","0.01","-0.16","-0.27","0.40","0.21","0.54"
"","Zarek Valentin","POR","2016","FB","1739","0.19","0.04","0.37","0.28","-0.22","-0.12","0.54"
"","Sebastián Blanco","POR","2020","W","720","0.17","-0.06","0.14","0.27","-0.09","0.11","0.54"
"","Cristhian Paredes","POR","2023","DM","2100","-0.39","-0.10","0.44","0.01","0.49","0.09","0.54"
"","Dairon Asprilla","POR","2015","W","1118","0.52","-0.11","0.31","0.11","-0.24","-0.05","0.54"
"","Bill Tuiloma","POR","2020","CB","910","0.18","0.01","0.18","0.06","0.02","0.09","0.54"
"","Santiago Moreno","POR","2021","W","418","0.14","-0.04","0.33","0.31","-0.18","-0.08","0.47"
"","Futty Danso","POR","2014","CB","946","0.14","-0.12","0.53","-0.31","0.16","0.05","0.46"
"","José Adolfo Valencia","POR","2013","ST","730","0.69","-0.04","-0.10","-0.07","-0.07","0.05","0.46"
"","Lucas Melano","POR","2016","W","2439","0.95","0.10","-0.37","-0.35","0.29","-0.17","0.45"
"","Fanendo Adi","POR","2018","ST","901","-0.22","-0.06","-0.04","-0.32","0.85","0.21","0.42"
"","Fanendo Adi","POR","2017","ST","2044","-0.63","0.63","-0.39","-1.59","2.00","0.40","0.42"
"","Jack Jewsbury","POR","2013","FB","2397","-0.23","0.02","0.47","0.26","-0.18","0.07","0.41"
"","Rodney Wallace","POR","2013","W","2150","-0.72","-0.18","0.26","-0.02","0.87","0.21","0.41"
